,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,East London,20,ZA,1578469445,88,-33.02,27.91,75.2,8.05
1,Rikitea,0,PF,1578469461,80,-23.12,-134.97,76.87,18.32
2,Hambantota,40,LK,1578469462,70,6.12,81.12,87.8,12.75
3,Atar,7,MR,1578469462,18,20.52,-13.05,52.02,12.59
4,Cabo San Lucas,100,MX,1578469202,86,22.89,-109.91,68.0,0.96
5,Tuatapere,91,NZ,1578469462,82,-46.13,167.69,57.0,1.99
6,Longyearbyen,75,NO,1578469462,94,78.22,15.63,32.0,27.51
7,Mar del Plata,0,AR,1578469463,46,-46.43,-67.52,52.18,29.86
8,Zatoka,75,PL,1578469463,77,50.04,20.52,36.0,1.12
9,Jamestown,0,AU,1578469463,19,-33.21,138.6,90.21,7.09
10,Talnakh,75,RU,1578469463,84,69.49,88.39,3.2,20.13
11,Butaritari,100,KI,1578469463,77,3.07,172.79,85.15,16.8
12,Vitim,100,RU,1578469464,94,59.44,112.57,13.26,6.82
13,Cape Town,40,ZA,1578469464,73,-33.93,18.42,78.01,13.87
14,Albany,40,US,1578469464,73,42.65,-73.75,30.0,3.36
15,Zhangye,100,CN,1578469464,37,38.94,100.46,29.61,7.31
16,Ushuaia,90,AR,1578469347,93,-54.81,-68.31,44.6,12.75
17,Busselton,58,AU,1578469465,23,-33.64,115.35,80.01,22.46
18,Ambilobe,100,MG,1578469465,67,-13.19,49.05,87.26,4.94
19,Hasaki,75,JP,1578469465,100,35.73,140.83,46.4,5.82
20,Mindelheim,79,DE,1578469466,74,48.05,10.49,34.0,9.17
21,Inhambane,40,MZ,1578469466,62,-23.87,35.38,89.6,9.17
22,Mataura,100,NZ,1578469466,82,-46.19,168.86,57.0,1.99
23,Punta Arenas,20,CL,1578469466,80,-53.16,-70.91,41.0,9.17
24,Yakeshi,100,CN,1578469466,100,49.28,120.73,-9.83,3.04
25,Kerchevskiy,95,RU,1578469467,95,59.95,56.29,10.6,7.38
26,Kavieng,100,PG,1578469467,72,-2.57,150.8,83.46,7.67
27,Kapaa,90,US,1578469467,64,22.08,-159.32,75.2,23.04
28,Ucluelet,75,CA,1578469467,81,48.94,-125.55,43.0,5.99
29,Saint-Philippe,90,CA,1578469467,97,45.36,-73.48,32.0,5.82
30,Bredasdorp,20,ZA,1578469468,65,-34.53,20.04,77.0,11.41
31,Linxia,0,CN,1578469329,64,35.6,103.21,27.52,4.65
32,Qaanaaq,66,GL,1578469468,96,77.48,-69.36,-27.36,1.77
33,Avarua,86,CK,1578469468,88,-21.21,-159.78,77.0,2.24
34,Lata,100,IN,1578469468,99,30.78,78.62,15.64,12.62
35,Taoudenni,0,ML,1578469469,17,22.68,-3.98,58.06,7.99
36,Airai,100,TL,1578469469,89,-8.93,125.41,72.37,2.73
37,Gat,59,SN,1578469469,50,14.69,-16.54,64.4,4.7
38,Luderitz,0,NA,1578469469,89,-26.65,15.16,63.05,5.75
39,Kikwit,100,CD,1578469469,90,-5.04,18.82,74.64,6.76
40,Lebu,75,ET,1578469470,48,8.96,38.73,64.4,16.11
41,Vaini,40,IN,1578469470,48,15.34,74.49,84.2,4.7
42,Barrow,0,AR,1578469470,43,-38.31,-60.23,67.75,12.35
43,Provideniya,0,RU,1578469470,88,64.42,-173.23,-10.95,1.23
